adc_id,adc_name,drug_status,antibody_name,antigen_id,antigen_name,payload_id,payload_name,payload_identity,payload_target,payload_mechanism,linker_name,activity_id,standard_type,is_potency_endpoint,relation,value_raw,value_numeric,units,is_molar_unit,cell_line,disease_model,source_url,source_html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008193,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.08,0.08,nM,1,CVCL_7040,Gastrointestinal stromal tumor,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008188,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.08,0.08,nM,1,CVCL_2106,Acute megakaryoblastic leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008197,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.09,0.09,nM,1,CVCL_1507,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008189,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.11,0.11,nM,1,CVCL_2149,Acute myeloid leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008195,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.15,0.15,nM,1,CVCL_1598,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008185,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.61,0.61,nM,1,CVCL_2481,Erythroleukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008187,Half Maximum Growth Inhibitory Concentration (GI50),1,=,1.29,1.29,nM,1,CVCL_0614,Acute myeloid leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008191,Half Maximum Growth Inhibitory Concentration (GI50),1,=,1.8,1.8,nM,1,CVCL_0104,Essential thrombocythemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008190,Half Maximum Growth Inhibitory Concentration (GI50),1,=,3.6,3.6,nM,1,CVCL_2196,Adult acute myeloid leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008186,Half Maximum Growth Inhibitory Concentration (GI50),1,=,4,4.0,nM,1,CVCL_0589,Myeloid leukemia with maturation,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008196,Half Maximum Growth Inhibitory Concentration (GI50),1,=,4.3,4.3,nM,1,CVCL_1453,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BRWYZ,HER-SG3249,Investigative,Trastuzumab,TAR0THKZD,Receptor tyrosine-protein kinase erbB-2 (HER2),PAY0LZRXU,SG3199,PAY0LZRXU,Human Deoxyribonucleic acid (hDNA),DNA-damaging,Mal-PEG8-Val-Ala-PABC,ADCC001426,Half Maximum Growth Inhibitory Concentration (GI50),1,=,1.74,1.74,ng/mL,0,SK-BR-3 cells,Breast adenocarcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BRWYZ,data/raw/adcdb_idrblab/adc_details/DRG0BRWYZ.html
