path,relative_path,top_level,suffix,bytes,sha256,note
data/raw/adcdb_idrblab/adc_details/DRG0DAKKB.html,adcdb_idrblab/adc_details/DRG0DAKKB.html,adcdb_idrblab,.html,325472,67aff30ffbf4bc284cd3355954b6754023ced47eace21f05ed2768d1babedc7b,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DBEFV.html,adcdb_idrblab/adc_details/DRG0DBEFV.html,adcdb_idrblab,.html,64126,77ad7c7e61d490f94fa8660cd9f6575f89e364e6b77f8e2738034bc8e39eb414,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DBPMZ.html,adcdb_idrblab/adc_details/DRG0DBPMZ.html,adcdb_idrblab,.html,51829,3039963f84c888edfcc012ced78c8d68219e0d0c1e016daa065cb6fc20888cf3,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DCQUW.html,adcdb_idrblab/adc_details/DRG0DCQUW.html,adcdb_idrblab,.html,49523,226c00120bb8dd18f43b87e6efc83bc01e8877fda28a01311d60d95c5339b6a1,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DEGEG.html,adcdb_idrblab/adc_details/DRG0DEGEG.html,adcdb_idrblab,.html,254278,effbb574217a698c9860fc039d99ebab6a999de48177c9f492b1c08caa762f77,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DGZOG.html,adcdb_idrblab/adc_details/DRG0DGZOG.html,adcdb_idrblab,.html,82280,12cd3cf56ff083276ca7cde3b4959f2d9578799e11ea2c814ec589fdf0d908ad,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DIWSF.html,adcdb_idrblab/adc_details/DRG0DIWSF.html,adcdb_idrblab,.html,71251,838a57fba9378345ecb2dd217fef017e228310331d3bfa013ce629fdc690fbf6,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DJFNE.html,adcdb_idrblab/adc_details/DRG0DJFNE.html,adcdb_idrblab,.html,32305,8525bd64e663b8d173173f8f5175ad3ba59f3ccf58db96f91e587a753ec073a7,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DKLRV.html,adcdb_idrblab/adc_details/DRG0DKLRV.html,adcdb_idrblab,.html,31599,9299eb0fb21a59efdefc5a77540b0ad541a0959d81f5a4b253b8ee52449a166f,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0DKNMD.html,adcdb_idrblab/adc_details/DRG0DKNMD.html,adcdb_idrblab,.html,38478,d91acc97b99308729c0e2e0a7714141b0eadf5322ecb8ca1054f800417d9e60b,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
