adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0JWBNH,ADCC000401,Half Maximal Inhibitory Concentration (IC50),=,6.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JWBNH,ADCC000400,Half Maximal Inhibitory Concentration (IC50),=,63.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JWBNH,ADCC000402,Half Maximal Inhibitory Concentration (IC50),=,90.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JWBNH,ADCC000301,Half Maximal Inhibitory Concentration (IC50),=,219.5,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JWBNH,ADCC000303,Half Maximal Inhibitory Concentration (IC50),=,1013.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JWBNH,ADCC000302,Half Maximal Inhibitory Concentration (IC50),=,1400.8,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JWBNH,ADCC000300,Half Maximal Inhibitory Concentration (IC50),=,3300.0,ng/mL ng/mL ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0KSALF,ADCC001879,Half Maximal Effective Concentration (EC50),=,0.38,ug/mL,Other,non_molar_or_missing_value
DRG0KSALF,ADCC001880,Half Maximal Effective Concentration (EC50),=,6.4,ug/mL,Other,non_molar_or_missing_value
DRG0KUNBK,ADCC002259,Half Maximal Effective Concentration (EC50),=,0.04,nM ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0KXYRT,ADCC002524,Half Maximal Inhibitory Concentration (IC50),=,2.8,ng/mL,DNA-damaging,non_molar_or_missing_value
DRG0LDNPD,ADCC005405,Half Maximal Inhibitory Concentration (IC50),=,12.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0LDNPD,ADCC005358,Half Maximal Inhibitory Concentration (IC50),=,34.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MBWYP,ADCC001913,Half Maximal Effective Concentration (EC50),=,0.03,ug/mL,Other,non_molar_or_missing_value
DRG0MBWYP,ADCC001914,Half Maximal Effective Concentration (EC50),=,50.0,ug/mL,Other,non_molar_or_missing_value
